# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=50
# for k=1.05577e-05 to 210.871 h/Mpc,
# number of wavenumbers equal to 135
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_cdm                 14:t_ur                  15:t_ncdm[0]             16:t_ncdm[1]             17:t_tot              
       1.066136776005e-01      -2.950645137230e-01      -2.528123573124e+02      -3.190168904791e+02      -2.950127574138e-01      -3.093164001177e-01      -5.434727722465e-01      -3.035809795188e+02       7.375318935345e-02       7.375312353701e-02      -4.627852163632e-06       2.723986287905e-01       2.784579494534e-01      -4.569887052298e-06      -2.259307075485e-04       6.303605564508e-04       2.715592966372e-01 
       1.102929974112e-01      -2.840235036011e-01      -2.625669787335e+02      -3.282513640712e+02      -2.839736171002e-01      -2.912946823853e-01      -5.140385552630e-01      -3.127360481358e+02       7.099340427506e-02       7.099335370565e-02      -4.446425870401e-06       2.809921412037e-01       2.867952682665e-01      -4.390485511089e-06       5.947957469788e-04       4.875386098128e-04       2.797573427269e-01 
       1.140742651042e-01      -2.743350754026e-01      -2.749779116900e+02      -3.384966639832e+02      -2.742867974715e-01      -2.674793245212e-01      -5.076385402127e-01      -3.231332290671e+02       6.857169936787e-02       6.857166126723e-02      -4.289259609377e-06       2.908965133437e-01       2.962373927775e-01      -4.235026545635e-06       3.897103900576e-04       3.804956288400e-04       2.890646650206e-01 
       1.179639041415e-01      -2.656569286990e-01      -2.895389527808e+02      -3.496512923900e+02      -2.656100730744e-01      -2.590474275363e-01      -4.840055827732e-01      -3.346115191667e+02       6.640251826860e-02       6.640248421792e-02      -4.145943046590e-06       3.019073256712e-01       3.066481083512e-01      -4.093199278420e-06      -2.866935398193e-04       7.180593730382e-04       2.993414053885e-01 
       1.219682317317e-01      -2.575617805542e-01      -3.053119591741e+02      -3.614511151733e+02      -2.575162522786e-01      -2.596763846228e-01      -4.656903636496e-01      -3.468096067079e+02       6.437906306964e-02       6.437902760645e-02      -4.015809742277e-06       3.136082313741e-01       3.177125261442e-01      -3.964456496093e-06      -4.830842577514e-04       2.683951699515e-04       3.102608958241e-01 
       1.260934928360e-01      -2.495923281639e-01      -3.210085596489e+02      -3.734852184056e+02      -2.495481278929e-01      -2.565914356212e-01      -4.653227758429e-01      -3.591911388768e+02       6.238703197322e-02       6.238699404379e-02      -3.885847108780e-06       3.254036185114e-01       3.289584166870e-01      -3.835908673635e-06      -2.054308444840e-04       3.394565608815e-04       3.213485401954e-01 
       1.303458857367e-01      -2.413316368503e-01      -3.351709574756e+02      -3.852485939368e+02      -2.412888502308e-01      -2.471345280687e-01      -4.416062735922e-01      -3.711156865094e+02       6.032221255769e-02       6.032217980369e-02      -3.752143781777e-06       3.366001356304e-01       3.398184778289e-01      -3.703751932946e-06       9.919550173197e-05       7.809989561468e-04       3.320284917831e-01 
       1.347315812958e-01      -2.324774447603e-01      -3.464398832706e+02      -3.962309884270e+02      -2.324362165511e-01      -2.347524634423e-01      -4.149259155602e-01      -3.819536112955e+02       5.810905413777e-02       5.810902851203e-02      -3.616614318886e-06       3.465331900664e-01       3.497316886691e-01      -3.569973354469e-06       2.066998879495e-04       3.914319851236e-04       3.417299620312e-01 
       1.392567375885e-01      -2.229057856618e-01      -3.538795404786e+02      -4.060340114593e+02      -2.228662811018e-01      -2.222221402767e-01      -4.089088128863e-01      -3.912322933199e+02       5.571657027546e-02       5.571654768123e-02      -3.473013179497e-06       3.547247299891e-01       3.582737016766e-01      -3.428349024618e-06       1.571827410249e-04      -4.774171088451e-06       3.500335380057e-01 
       1.439275113025e-01      -2.127032090001e-01      -3.572810731992e+02      -4.144874747048e+02      -2.126655692573e-01      -2.101764649567e-01      -4.003712387720e-01      -3.987785152369e+02       5.316639231432e-02       5.316637165184e-02      -3.318413502261e-06       3.610328015818e-01       3.652838306340e-01      -3.275915901442e-06       6.704905770298e-05       3.341074074485e-04       3.567886324935e-01 
