# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0.75
# for k=1.05577e-05 to 210.871 h/Mpc,
# number of wavenumbers equal to 135
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_cdm                 14:t_ur                  15:t_ncdm[0]             16:t_ncdm[1]             17:t_tot              
       1.347315812958e-01      -2.158075792663e-01      -1.040590848979e+04      -1.046388867758e+04      -2.146587941862e-01      -6.472621088374e+00      -1.998149230178e+02      -1.040601663458e+04       5.366469854655e-02       5.366469851860e-02      -1.106769291620e-05       1.716964293350e+00       1.717297987065e+00      -1.077603932376e-05       2.332485774261e-03       6.843732426828e-02       1.709120375758e+00 
       1.392567375885e-01      -2.069200574102e-01      -1.065747825808e+04      -1.071850755921e+04      -2.058185845739e-01      -6.196900984703e+00      -1.923898041527e+02      -1.065893071976e+04       5.145464614346e-02       5.145464611839e-02      -1.061220848773e-05       1.758692403042e+00       1.759043568496e+00      -1.033256696289e-05       2.237934170887e-03       6.608663312633e-02       1.750650658528e+00 
       1.439275113025e-01      -1.974465773114e-01      -1.085882575945e+04      -1.092620882681e+04      -1.963955418488e-01      -5.919563690066e+00      -1.843239813502e+02      -1.086464270790e+04       4.909888546220e-02       4.909888543977e-02      -1.012662852803e-05       1.792621762607e+00       1.793001437518e+00      -9.859793623765e-06       2.077402641664e-03       6.348377427280e-02       1.784428575514e+00 
       1.487500670968e-01      -1.876558546801e-01      -1.101692515639e+04      -1.109321328101e+04      -1.866569485022e-01      -5.631531225013e+00      -1.758557459336e+02      -1.102945987104e+04       4.666423712554e-02       4.666423710556e-02      -9.624735451255e-06       1.819795985449e+00       1.820211853563e+00      -9.371137318475e-06       2.014225515829e-03       6.069393944367e-02       1.811490170926e+00 
       1.537305859894e-01      -1.779534354643e-01      -1.115104176548e+04      -1.123731206143e+04      -1.770061882852e-01      -5.339756576410e+00      -1.673470829291e+02      -1.117131546643e+04       4.425154707131e-02       4.425154705356e-02      -9.127331873126e-06       1.843179148486e+00       1.843633243263e+00      -8.886851071573e-06       1.944775244513e-03       5.787496008808e-02       1.834780813611e+00 
       1.588752737623e-01      -1.687928435684e-01      -1.129005979908e+04      -1.138544637296e+04      -1.678943676596e-01      -5.064590909205e+00      -1.592578252637e+02      -1.131732135173e+04       4.197359191490e-02       4.197359189913e-02      -8.657680534819e-06       1.867251097060e+00       1.867738559360e+00      -8.429583259953e-06       1.852923887625e-03       5.523030641027e-02       1.858753422473e+00 
       1.641903703228e-01      -1.605625195033e-01      -1.146613673906e+04      -1.156782037183e+04      -1.597078570813e-01      -4.819354417953e+00      -1.519972370967e+02      -1.149783820385e+04       3.992696427033e-02       3.992696425627e-02      -8.235717151223e-06       1.897027544283e+00       1.897537080587e+00      -8.018743608976e-06       1.754280166654e-03       5.282580071635e-02       1.888394061284e+00 
       1.696821609277e-01      -1.534754461440e-01      -1.170551986769e+04      -1.180929975808e+04      -1.526585049297e-01      -4.607811561199e+00      -1.457179727738e+02      -1.173782526057e+04       3.816462623242e-02       3.816462621983e-02      -7.872372284729e-06       1.936630833279e+00       1.937147175644e+00      -7.664974511835e-06       1.638956101757e-03       5.072272682553e-02       1.927801823361e+00 
       1.753569901571e-01      -1.474962242334e-01      -1.201887604661e+04      -1.212028503623e+04      -1.467111015344e-01      -4.423595579874e+00      -1.404445830594e+02      -1.204767437601e+04       3.667777538361e-02       3.667777537228e-02      -7.565827699347e-06       1.987775628708e+00       1.988283700779e+00      -7.366506085546e-06       1.549535127429e-03       4.902050200653e-02       1.978683563006e+00 
       1.812212795127e-01      -1.423392858913e-01      -1.239488008129e+04      -1.249058989616e+04      -1.415816018849e-01      -4.269185395055e+00      -1.359057385149e+02      -1.241707256162e+04       3.539540047123e-02       3.539540046099e-02      -7.301447590375e-06       2.048755666389e+00       2.049245436897e+00      -7.109089677215e-06       1.570177017847e-03       4.748858159369e-02       2.039344789889e+00 
       1.872815495043e-01      -1.375677472269e-01      -1.280224671188e+04      -1.289130422629e+04      -1.368354512275e-01      -4.129866252391e+00      -1.316862848211e+02      -1.281688252301e+04       3.420886280687e-02       3.420886279759e-02      -7.056816402237e-06       2.114756226375e+00       2.115226618361e+00      -6.870901728814e-06       1.445992692809e-03       4.613570922830e-02       2.105001695880e+00 
       1.935444470862e-01      -1.326896060785e-01      -1.319418835951e+04      -1.327860601633e+04      -1.319832696289e-01      -3.982190028342e+00      -1.273198426285e+02      -1.320303551999e+04       3.299581740723e-02       3.299581739885e-02      -6.806702254837e-06       2.178495726382e+00       2.178955913043e+00      -6.627376707490e-06       1.470974887925e-03       4.465119399931e-02       2.168415912832e+00 
