# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.0653e-05 to 212.771 h/Mpc,
# number of wavenumbers equal to 135
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_ncdm[0]              8:d_ncdm[1]              9:d_tot                 10:phi                   11:psi                   12:t_g                   13:t_b                   14:t_cdm                 15:t_fld                 16:t_ur                  17:t_ncdm[0]             18:t_ncdm[1]             19:t_tot              
       4.241026168960e-03      -1.906533401790e+00      -1.445580526161e+02      -1.446013871317e+02      -2.987524714811e+00      -1.801289019114e+00      -4.993177913710e+01      -1.191317996265e+02      -4.830875969963e+01       4.431421899563e-01       4.431421644279e-01      -1.197574763390e-04       1.713822096476e-02       1.713951941372e-02       1.706388766483e-02      -1.947956464250e-04       8.418847893681e-03       1.585576901930e-02       1.711346574243e-02 
       5.339135616187e-03      -1.724191523887e+00      -2.216317315455e+02      -2.217124426858e+02      -4.505449942105e+00      -1.720523073709e+00      -5.734777420897e+01      -1.728767520480e+02      -7.400260001415e+01       4.301307684273e-01       4.301307385120e-01      -2.189274850124e-04       2.636835880261e-02       2.637037847632e-02       2.619640015252e-02      -2.176572402101e-04       1.091832343116e-02       2.384377464316e-02       2.631741796252e-02 
       6.721573504233e-03      -1.659489923315e+00      -3.373975633895e+02      -3.375563003861e+02      -6.771814314269e+00      -1.655958525960e+00      -6.637252209139e+01      -2.466723209429e+02      -1.125831004103e+02       4.139896314901e-01       4.139896205471e-01      -2.108933019453e-04       4.022972481969e-02       4.023288594891e-02       3.983159954054e-02      -2.096704178460e-04       1.493736640631e-02       3.529474968909e-02       4.012407897792e-02 
       8.461959691722e-03      -1.580539130118e+00      -5.087232102069e+02      -5.090486153388e+02      -1.009290933661e+01      -1.577174912222e+00      -7.845089014734e+01      -3.432350305343e+02      -1.696556710710e+02       3.942937280554e-01       3.942937215320e-01      -2.011375406792e-04       6.074137115834e-02       6.074632107001e-02       5.981814054470e-02      -1.999724191125e-04       1.733350318386e-02       5.103404762222e-02       6.051591132115e-02 
       1.065297608949e-02      -1.485608352186e+00      -7.574567426428e+02      -7.581464430775e+02      -1.483780466559e+01      -1.482445069838e+00      -8.411950780754e+01      -4.607159497675e+02      -2.524658727806e+02       3.706112674594e-01       3.706112632280e-01      -1.894493728878e-04       9.051872589992e-02       9.052650753862e-02       8.839808133041e-02      -1.883536641041e-04       2.025683307323e-02       7.163147335930e-02       9.003614564655e-02 
       1.341130231029e-02      -1.373146650679e+00      -1.109499999590e+03      -1.110988230937e+03      -2.138060707328e+01      -1.370221343487e+00      -8.664472274060e+01      -5.956892261575e+02      -3.695910636132e+02       3.425553358718e-01       3.425553331224e-01      -1.756614902442e-04       1.326697630254e-01       1.326820647763e-01       1.278733440501e-01      -1.746479788913e-04       2.227621003568e-02       9.710393734199e-02       1.316395195342e-01 
       1.688382928364e-02      -1.242032047776e+00      -1.590877235766e+03      -1.594086270443e+03      -2.994998758869e+01      -1.239384102255e+00      -8.608066690422e+01      -7.350444877924e+02      -5.296044591400e+02       3.098460255636e-01       3.098460238331e-01      -1.596487140409e-04       1.903309959607e-01       1.903506443003e-01       1.797332242741e-01      -1.587309910963e-04       2.347053258362e-02       1.252242456715e-01       1.881562954988e-01 
       2.125548150196e-02      -1.092396912571e+00      -2.218742170109e+03      -2.225483417061e+03      -4.034230987868e+01      -1.090065503973e+00      -8.158105316065e+01      -8.479304301697e+02      -7.380427057930e+02       2.725163759933e-01       2.725163749528e-01      -1.414129449569e-04       2.655943663856e-01       2.656258673859e-01       2.429683686669e-01      -1.406045392861e-04       2.347237579757e-02       1.537823929266e-01       2.611220060869e-01 
       2.675890332307e-02      -9.280302103349e-01      -2.989875697432e+03      -3.003217993631e+03      -5.157303248963e+01      -9.260466063961e-01      -7.344481290098e+01      -9.215077130205e+02      -9.935340997374e+02       2.315116515990e-01       2.315116510035e-01      -1.213831131566e-04       3.581377930134e-01       3.581876132510e-01       3.119977891115e-01      -1.206948397173e-04       2.210210088503e-02       1.774109709149e-01       3.492805863465e-01 
       3.366656121949e-02      -7.602103895193e-01      -3.882776373839e+03      -3.906429043167e+03      -6.184949495169e+01      -7.585820908381e-01      -6.288311468018e+01      -9.367899177194e+02      -1.288152005096e+03       1.896455227095e-01       1.896455223846e-01      -1.008866810177e-04       4.653611872074e-01       4.654358725983e-01       3.764570483441e-01      -1.003211610837e-04       1.966207252934e-02       1.917261849316e-01       4.486704231992e-01 
