# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=10
# for k=1.0653e-05 to 212.771 h/Mpc,
# number of wavenumbers equal to 135
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_ncdm[0]              8:d_ncdm[1]              9:d_tot                 10:phi                   11:psi                   12:t_g                   13:t_b                   14:t_cdm                 15:t_fld                 16:t_ur                  17:t_ncdm[0]             18:t_ncdm[1]             19:t_tot              
       9.625206312119e-02      -3.597841013838e-01      -1.263886379548e+03      -1.328400239338e+03      -3.173160791479e-06      -3.333617034851e-01      -4.867834206418e-01      -8.314197573321e+00      -1.305192310723e+03       8.334042587129e-02       8.334042049808e-02      -7.119766495431e-06       5.502246035765e-01       5.515373991761e-01       1.045413860748e-04      -1.283786381841e-06       2.721352393722e-04       6.948326307108e-03       5.469068871453e-01 
       9.966895476000e-02      -3.428979320615e-01      -1.288866711834e+03      -1.358036415929e+03      -2.820478085868e-06      -3.177178102036e-01      -4.781286220332e-01      -7.909448368524e+00      -1.333819361429e+03       7.942945255091e-02       7.942944753939e-02      -6.784598510686e-06       5.622447691745e-01       5.636483526358e-01       9.963653261867e-05      -1.224044854386e-06       2.192843431782e-04       6.613964545542e-03       5.589048309604e-01 
       1.031676359049e-01      -3.277367971539e-01      -1.318686104781e+03      -1.390931407887e+03      -2.516055599723e-06      -3.036704388160e-01      -4.443534936060e-01      -7.569093047604e+00      -1.365912782594e+03       7.591760970401e-02       7.591760542760e-02      -6.484959923355e-06       5.757648489022e-01       5.772159574685e-01       9.523207854408e-05      -1.170567759172e-06       8.586638373669e-06       6.177716655580e-03       5.723537210409e-01 
       1.067551724874e-01      -3.143470086324e-01      -1.354976062917e+03      -1.428369371574e+03      -2.253801530097e-06      -2.912625927258e-01      -4.359540388815e-01      -7.288281215451e+00      -1.402796584024e+03       7.281564818146e-02       7.281564420725e-02      -6.221189672852e-06       5.913498429824e-01       5.927985718886e-01       9.134180591920e-05      -1.123007923656e-06       3.306164466979e-04       5.893512124636e-03       5.878099883691e-01 
       1.104383416310e-01      -3.026323652410e-01      -1.398675437347e+03      -1.471167928942e+03      -2.027492988502e-06      -2.804054313216e-01      -4.110430648364e-01      -7.035635956306e+00      -1.445298403186e+03       7.010135783039e-02       7.010135435925e-02      -5.991523119530e-06       6.093501191169e-01       6.107460358801e-01       8.793771638283e-05      -1.081368923227e-06      -2.367058192748e-05       5.784235053993e-03       6.056197401677e-01 
       1.142237113752e-01      -2.923500740498e-01      -1.449741672648e+03      -1.519457795556e+03      -1.830932340045e-06      -2.708744749974e-01      -4.071162452007e-01      -6.797665308157e+00      -1.493521266590e+03       6.771861874935e-02       6.771861549720e-02      -5.790666241354e-06       6.298036768447e-01       6.311033714463e-01       8.494951469694e-05      -1.044634196429e-06       2.473379971768e-04       5.707267316718e-03       6.258271762986e-01 
       1.181177002795e-01      -2.831300115130e-01      -1.506972567793e+03      -1.572533810678e+03      -1.658188271795e-06      -2.623273950148e-01      -3.823240386261e-01      -6.576768441140e+00      -1.546691542401e+03       6.558184875371e-02       6.558184593939e-02      -5.611210623786e-06       6.523715992887e-01       6.535465701431e-01       8.226969275087e-05      -1.011829754557e-06       1.685631583996e-04       5.569363124655e-03       6.481074267551e-01 
       1.221266221640e-01      -2.745123390492e-01      -1.567966054452e+03      -1.628799253965e+03      -1.503886176298e-06      -2.543387919338e-01      -3.800736140056e-01      -6.372602930917e+00      -1.603106231677e+03       6.358469798346e-02       6.358469533671e-02      -5.443532624206e-06       6.763162575451e-01       6.773599634332e-01       7.976488233596e-05      -9.812608217767e-07      -7.847263424530e-05       5.375950483890e-03       6.717474356714e-01 
       1.262567197402e-01      -2.660084190360e-01      -1.629322899674e+03      -1.685884141909e+03      -1.363506951853e-06      -2.464565379665e-01      -3.691261753650e-01      -6.176121579174e+00      -1.660262754234e+03       6.161413449162e-02       6.161413207843e-02      -5.277316823814e-06       7.005581920416e-01       7.014905478027e-01       7.729340379982e-05      -9.509768496349e-07       3.196686955190e-04       5.166124413885e-03       6.956995459985e-01 
       1.305141898968e-01      -2.571759825368e-01      -1.687112355384e+03      -1.740958715503e+03      -1.233629717214e-06      -2.382713219885e-01      -3.480378014393e-01      -5.974787436542e+00      -1.715192505325e+03       5.956783049712e-02       5.956782839797e-02      -5.103676778054e-06       7.238205118178e-01       7.246882322377e-01       7.472679548145e-05      -9.196010484978e-07       2.668363280915e-04       4.962938737015e-03       7.187188056981e-01 
