# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=1.5
# for k=1.0653e-05 to 212.771 h/Mpc,
# number of wavenumbers equal to 135
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_ncdm[0]              8:d_ncdm[1]              9:d_tot                 10:phi                   11:psi                   12:t_g                   13:t_b                   14:t_cdm                 15:t_fld                 16:t_ur                  17:t_ncdm[0]             18:t_ncdm[1]             19:t_tot              
       6.437813162235e-02      -5.174659580370e-01      -3.964242832888e+03      -3.995842351933e+03      -2.665368476764e-06      -5.127446189831e-01      -7.600070645260e+00      -2.111028192569e+02      -3.370279086759e+03       1.281861547458e-01       1.281861540230e-01      -1.607586894635e-05       7.894613016584e-01       7.897034920173e-01       7.610135432582e-05      -1.483838090163e-05       3.111152505771e-03       7.996594943061e-02       7.721527210246e-01 
       6.761782965077e-02      -4.959051578409e-01      -4.193563243179e+03      -4.224047942761e+03      -2.315386220646e-06      -4.913804422823e-01      -7.274670441280e+00      -2.050716234008e+02      -3.563079189479e+03       1.228451105706e-01       1.228451099420e-01      -1.540906853139e-05       8.346466540557e-01       8.348902809199e-01       7.292967698543e-05      -1.422309450543e-05       2.995481632270e-03       7.810901836159e-02       8.163132104561e-01 
       7.077686273009e-02      -4.753845797814e-01      -4.405813626354e+03      -4.436240853062e+03      -2.025841068478e-06      -4.710470436633e-01      -6.974348067126e+00      -1.989178007401e+02      -3.742222227941e+03       1.177617609158e-01       1.177617603648e-01      -1.477394870898e-05       8.766265910613e-01       8.768775780203e-01       6.991113922500e-05      -1.363702408685e-05       2.785759546850e-03       7.617574578414e-02       8.573451413657e-01 
       7.389448284758e-02      -4.553226486359e-01      -4.599966501340e+03      -4.631610814756e+03      -1.780058184004e-06      -4.511681461331e-01      -6.698149746662e+00      -1.924884630133e+02      -3.906995434819e+03       1.127920365333e-01       1.127920360471e-01      -1.415258138634e-05       9.152336365357e-01       9.154986685789e-01       6.696018088181e-05      -1.306362840892e-05       2.660140570399e-03       7.409095841735e-02       8.950852841471e-01 
       7.699842267797e-02      -4.354365575540e-01      -4.775250209152e+03      -4.809492953319e+03      -1.567821369977e-06      -4.314635152924e-01      -6.406507358130e+00      -1.857824279579e+02      -4.056823579265e+03       1.078658788231e-01       1.078658783942e-01      -1.353629475385e-05       9.503328941783e-01       9.506188365457e-01       6.403517913768e-05      -1.249490811584e-05       2.642259072156e-03       7.180289180050e-02       9.294017589372e-01 
       8.010941563580e-02      -4.156506864293e-01      -4.931682539893e+03      -4.969889704110e+03      -1.382589724660e-06      -4.118582128319e-01      -6.104745657310e+00      -1.788642498665e+02      -4.191710916213e+03       1.029645532080e-01       1.029645528298e-01      -1.292280916355e-05       9.819256690529e-01       9.822389455693e-01       6.112499607170e-05      -1.192876039721e-05       2.492856015617e-03       6.936298333234e-02       9.602955081578e-01 
       8.324371480182e-02      -3.960384350358e-01      -5.070446255832e+03      -5.113836182562e+03      -1.220009705290e-06      -3.924249601651e-01      -5.824700543946e+00      -1.717788265439e+02      -4.312550705667e+03       9.810624004127e-02       9.810623970669e-02      -1.231442279633e-05       1.010222097303e+00       1.010568040150e+00       5.824043133345e-05      -1.136730365113e-05       2.296723860367e-03       6.685768029434e-02       9.879713981282e-01 
       8.641458889910e-02      -3.767808824614e-01      -5.194164486089e+03      -5.243672192802e+03      -1.077062191858e-06      -3.733431754160e-01      -5.552700264929e+00      -1.645954548360e+02      -4.421355408596e+03       9.333579385401e-02       9.333579355777e-02      -1.171680254336e-05       1.035695097331e+00       1.036077310913e+00       5.540810654784e-05      -1.081576740784e-05       2.230612648739e-03       6.431501722073e-02       1.012890470420e+00 
       8.963325723707e-02      -3.581290790594e-01      -5.307016206218e+03      -5.363164755172e+03      -9.515347340679e-07      -3.548616100174e-01      -5.274685935873e+00      -1.574610275011e+02      -4.521359417304e+03       8.871540250435e-02       8.871540224251e-02      -1.113782197360e-05       1.059104367310e+00       1.059524159795e+00       5.266491594469e-05      -1.028142076827e-05       2.190257254751e-03       6.174161142796e-02       1.035793345948e+00 
       9.290949883744e-02      -3.403664587316e-01      -5.414657460648e+03      -5.477452337906e+03      -8.416807241553e-07      -3.372611044019e-01      -5.006087111754e+00      -1.505599578056e+02      -4.616968875817e+03       8.431527610047e-02       8.431527586889e-02      -1.058633752155e-05       1.081484541899e+00       1.081940505954e+00       5.005252692600e-05      -9.772438706261e-06       2.070730451357e-03       5.919417288840e-02       1.057689217767e+00 
